name,abbreviation,home_field,nickname,bright_color,light_color,dark_color,twitter_list,league_id,sport_id
Utah Royals,UTAH,Rio Tinto Stadium‎,Royals,#972C37,#F5B947,#010031,"<a class=""twitter-timeline"" data-link-color=""#972C37"" data-border-color=""#F5B947"" lang=""EN"" data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive""  href=""https://twitter.com/backcourtdribbl/lists/utah-royals?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>", ,
Washington Spirit,WAS,Maryland SoccerPlex,Spirit,#B32435,#F6F6F6,#0F1E2B,"<a class=""twitter-timeline"" data-link-color=""#B32435"" data-border-color=""#F6F6F6"" lang=""EN"" data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive"" href=""https://twitter.com/backcourtdribbl/lists/washington-spirit?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>", ,
NWSL Retired Players,N RET,,Retired,#C33431,#FFFFFF,#1F2D52,"<a class=""twitter-timeline"" data-link-color=""#C33431"" data-border-color=""#FFFFFF"" lang=""EN"" data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive""  href=""https://twitter.com/backcourtdribbl/lists/nwsl-retired-players?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
USWNT Soccer,USWNT, ,US Senior,#2D64F0,#BE2637,#202B42,"<a class=""twitter-timeline"" data-link-color=""#2D64F0"" data-border-color=""#BE2637"" lang=""EN"" data-theme=""dark"" height=""3039"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive""  href=""https://twitter.com/backcourtdribbl/lists/uswnt-soccer?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
USWNT Soccer U-23,US U-23,,US U-23,#BE2637,#2D64F0,#202B42,"<a class=""twitter-timeline"" data-link-color=""#BE2637"" data-border-color=""#2D64F0"" lang=""EN"" data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive""  href=""https://twitter.com/backcourtdribbl/lists/uswnt-soccer-u-23?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
USWNT Soccer U-20,US U-20,,US U-20,#2D64F0,#BE2637,#202B42,"<a class=""twitter-timeline"" data-link-color=""#2D64F0"" data-border-color=""##BE2637"" lang=""EN"" data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive""  href=""https://twitter.com/backcourtdribbl/lists/uswnt-soccer-u-20?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
USWNT Soccer U-19,US U-19,,US U-19,#BE2637,#2D64F0,#202B42,"<a class=""twitter-timeline"" data-link-color=""#BE2637"" data-border-color=""#2D64F0"" lang=""EN"" data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive""  href=""https://twitter.com/backcourtdribbl/lists/uswnt-soccer-u-19?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
USWNT Soccer Retired,US RET,,US RET,#2D64F0,#BE2637,#202B42,"<a class=""twitter-timeline"" data-link-color=""#BE2637"" data-border-color=""#2D64F0"" lang=""EN"" data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive"" href=""https://twitter.com/backcourtdribbl/lists/uswnt-soccer-retired1?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
USWNT Recent Callups,US CALL,,US CALL,#BE2637,#2D64F0,#202B42,"<a class=""twitter-timeline"" data-link-color=""#BE2637"" data-border-color=""#2D64F0"" lang=""EN"" data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive"" href=""https://twitter.com/backcourtdribbl/lists/uswnt-recent-call-ups?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
England Football,ENG,,Lionesses,#FA141B,#FFFFFF,#02325F,"<a class=""twitter-timeline"" data-link-color=""#FA141B"" data-border-color=""#FFFFFF"" lang=""EN"" data-theme=""dark"" height=""3039"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive"" href=""https://twitter.com/backcourtdribbl/lists/england-football?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
